ref,metric,value
605e72c,js_unused, 19
605e72c,js_size_kb,252
605e72c,datetime,2014-10-19T19:00:04
0b4d04a,js_unused, 19
0b4d04a,js_size_kb,252
0b4d04a,datetime,2014-10-19T19:00:04
c3bad27,js_unused, 19
c3bad27,js_size_kb,252
c3bad27,datetime,2014-10-19T19:00:04
ad6618b,js_unused, 19
ad6618b,js_size_kb,252
ad6618b,datetime,2014-10-19T19:00:04
cd9fb88,js_unused,19
cd9fb88,js_size_kb,252
cd9fb88,datetime,2014-10-19T19:00:04
193d4ee,js_unused,19
193d4ee,js_size_kb,252
193d4ee,datetime,2014-10-19T19:00:04
363efd6,js_unused,19
363efd6,js_size_kb,252
363efd6,datetime,2014-10-19T19:00:04
8f9186e,js_unused,19
8f9186e,js_size_kb,412
8f9186e,datetime,2014-10-31T19:00:04
7aeb266,js_unused,19
7aeb266,js_size_kb,412
7aeb266,datetime,2014-11-01T19:00:04
3ca2972,js_unused,19
3ca2972,js_size_kb,412
3ca2972,datetime,2014-11-01T19:00:04
e5e54a0,js_unused,19
e5e54a0,js_size_kb,412
e5e54a0,datetime,2014-11-03T19:00:04
57e4c1c,js_unused,19
57e4c1c,js_size_kb,412
57e4c1c,datetime,2014-11-03T19:00:04
4824a23,js_unused,19
4824a23,js_size_kb,412
4824a23,datetime,2014-11-04T19:00:04
9f5102b,js_unused,19
9f5102b,js_size_kb,412
9f5102b,datetime,2014-11-07T14:46:30
1ad0368,js_unused,19
1ad0368,js_size_kb,412
1ad0368,datetime,2014-11-07T15:14:15
cf7389e,js_unused,19
cf7389e,js_size_kb,412
cf7389e,datetime,2014-11-08T11:29:55
24df114,js_unused,19
24df114,js_size_kb,412
24df114,datetime,2014-11-08T11:40:40
727cb6b,js_unused,20
727cb6b,js_size_kb,412
727cb6b,datetime,2014-11-08T16:15:17
a1d4938,js_unused,21
a1d4938,js_size_kb,412
a1d4938,datetime,2014-11-09T15:24:00
66283fe,js_unused,21
66283fe,js_size_kb,412
66283fe,datetime,2014-11-09T15:34:57
1caf06d,js_unused,21
1caf06d,js_size_kb,412
1caf06d,datetime,2014-11-09T15:38:58
fe97e7c,js_unused,58
fe97e7c,js_size_kb,
fe97e7c,datetime,2015-11-02T22:57:53
4513e85,js_unused,58
4513e85,js_size_kb,
4513e85,datetime,2015-11-02T23:03:29
4513e85,js_unused,58
4513e85,js_size_kb,
4513e85,datetime,2015-11-03T06:17:08
4513e85,js_unused,58
4513e85,js_size_kb,
4513e85,datetime,2015-11-03T12:23:05
acb91df,js_unused,58
acb91df,js_size_kb,
acb91df,datetime,2015-11-03T18:20:31
143bea6,js_unused,58
143bea6,js_size_kb,
143bea6,datetime,2015-11-05T18:34:08
143bea6,js_unused,58
143bea6,js_size_kb,
143bea6,datetime,2015-11-05T18:39:07
73e8f5c,js_unused,58
73e8f5c,js_size_kb,
73e8f5c,datetime,2015-11-05T18:46:36
c6c9834,js_unused,58
c6c9834,js_size_kb,
c6c9834,datetime,2015-11-05T19:12:28
4062793,js_unused,58
4062793,js_size_kb,
4062793,datetime,2015-11-05T19:12:43
c6c9834,js_unused,58
c6c9834,js_size_kb,
c6c9834,datetime,2015-11-05T19:12:40
4062793,js_unused,58
4062793,js_size_kb,
4062793,datetime,2015-11-05T19:13:05
1523c40,js_unused,58
1523c40,js_size_kb,
1523c40,datetime,2015-11-05T20:09:20
44bbda2,js_unused,58
44bbda2,js_size_kb,
44bbda2,datetime,2015-11-05T22:59:19
6e745b3,js_unused,58
6e745b3,js_size_kb,244
6e745b3,datetime,2015-11-05T23:08:23
6e745b3,js_unused,58
6e745b3,js_size_kb,244
6e745b3,datetime,2015-11-05T23:15:38
6e745b3,js_unused,58
6e745b3,js_size_kb,248
6e745b3,datetime,2015-11-06T00:12:55
6e745b3,js_unused,58
6e745b3,js_size_kb,244
6e745b3,datetime,2015-11-06T10:57:52
6e745b3,js_unused,58
6e745b3,js_size_kb,244
6e745b3,datetime,2015-11-06T21:34:10
6e745b3,js_unused,58
6e745b3,js_size_kb,244
6e745b3,datetime,2015-11-07T15:03:23
7925d37,js_unused,58
7925d37,js_size_kb,244
7925d37,datetime,2015-11-08T23:03:46
7925d37,js_unused,58
7925d37,js_size_kb,244
7925d37,datetime,2015-11-09T21:48:09
7925d37,js_unused,58
7925d37,js_size_kb,244
7925d37,datetime,2015-11-10T01:18:15
7925d37,js_unused,58
7925d37,js_size_kb,244
7925d37,datetime,2015-11-10T19:55:06
7925d37,js_unused,58
7925d37,js_size_kb,244
7925d37,datetime,2015-11-10T20:31:50
7925d37,js_unused,58
7925d37,js_size_kb,244
7925d37,datetime,2015-11-11T11:28:36
